label,text
spam,Win money now click here
spam,Congratulations you have won a prize
spam,Limited time offer claim cash now
spam,Free entry win big rewards
spam,Urgent respond to claim your reward
spam,You are selected for a cash bonus
spam,Get rich quick guaranteed
spam,Exclusive deal just for you
spam,Earn money from home easily
spam,Winner claim your lottery prize
spam,Act now limited time deal
spam,Claim your free gift today
spam,You have been pre approved
spam,This offer expires soon
spam,Instant loan approved click now
spam,Win a brand new phone today
spam,Exclusive promotion for selected users
spam,No cost entry win cash now
spam,Big savings available act fast
spam,Lowest price guaranteed buy now
ham,Hi how are you
ham,Are we meeting tomorrow
ham,Let us have lunch today
ham,Please call me when free
ham,Can you send the report
ham,Happy birthday have a great day
ham,Let me know your availability
ham,Meeting has been rescheduled
ham,Thanks for your help
ham,See you soon
ham,Please review the document
ham,I will call you later
ham,Let us discuss this tomorrow
ham,Are you coming to office today
ham,Thanks for the update
ham,Please find the attachment
ham,We will talk after the meeting
ham,Can you help me with this task
ham,Looking forward to your reply
ham,Let us catch up this weekend
